,Person Description,Place Code,Customer Order,Additional Features in market,Promotion Name,Store Kind,Store Sales,Store Cost,Gross Weight,Net Weight,Is Recyclable?,Min. Person Yearly Income,Store Area,Grocery Area,Frozen Area,Meat Area,Cost
mc_ID_901,"Single Female with three children, education: bachelors degree working as professional",T02ma_WA,"Eggs from Eggs department, Ordered Brand : Giant","['Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist']",Super Duper Savers,Deluxe,3.99 M,1.9551 M,15.8442,14.376,yes,10K+,3145.51,2055.29,654.13,434.96,475.93
mc_ID_902,"Married Male with three children, education: partial high school working as manual",A17co_GU,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",[],Budget Bargains,,11.34 M,3.7422 M,15.2627,,no,10K+,2191.86,1623.48,,226.43,623.7298
mc_ID_903,"Single Female with five children, education: partial high school working as manual",A17co_GU,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",[],Price Winners,Supermarket,7.56 M,2.5704 M,14.5359,11.6287,yes,10K+,2191.58,1625.36,341.05,227.33,586.7537
mc_ID_904,"Married Female with three children, education: high school degree working as management",H11go_ZA,"Frozen Entrees from Frozen Foods department, Ordered Brand : PigTail","['Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad', 'Video Store']",Price Winners,Deluxe,3.33 M,1.1988 M,26.7461,23.6936,yes,130K+,2839.25,2038.11,481.98,321.26,453.9117
mc_ID_905,"Single Male with two children, education: bachelors degree working as professional",M10da_YU,"Snack Foods from Snack Foods department, Ordered Brand : Horatio","['Video Store', 'Ready Food', 'Coffee Bar', 'Florist', 'Bar For Salad']",,Deluxe,6.16 M,2.9568 M,,7.893,no,90K+,2861.13,1871.16,593.93,395.95,519.7574
mc_ID_906,"Single Female with five children, education: bachelors degree working as management",P07nd_OR,"Pain Relievers from Health and Hygiene department, Ordered Brand : Hilltop",[],GLD,Supermarket,7.2 M,2.376 M,12.748,11.2944,yes,70K+,1885.87,1508,227.8,,727.9637
mc_ID_907,"Married Female with four children, education: bachelors degree working as professional",T02ma_WA,"Breakfast Foods from Breakfast Foods department, Ordered Brand : Special","['Ready Food', 'Coffee Bar', 'Florist', 'Bar For Salad']",Full Free,Deluxe,11.64 M,3.9576 M,31.6883,28.6358,yes,30K+,,2055.29,654.13,436.09,570.3838
mc_ID_908,"Single Male with four children, education: high school degree working as manual",S01em_OR,"Frozen Desserts from Frozen Foods department, Ordered Brand : Golden","['Coffee Bar', 'Florist', 'Ready Food', 'Video Store', 'Bar For Salad']",I Cant Believe It Sale,Deluxe,11.64 M,5.82 M,,24.7111,yes,30K+,2572.86,1734.5,503.07,334.46,363.3281
mc_ID_909,"Married Male with one child, education: bachelors degree working as management",V13er_BC,"Magazines from Periodicals department, Ordered Brand : Dollar","['Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar', 'Video Store']",Super Savers,,8.73 M,3.3174 M,15.6988,,no,50K+,2150.28,1525.28,373.1,248.79,755.9442
mc_ID_910,"Married Female with three children, education: bachelors degree working as management",S01em_OR,"Canned Soup from Canned Foods department, Ordered Brand : Just Right","['Ready Food', 'Video Store', 'Bar For Salad', 'Coffee Bar', 'Florist']",,Deluxe,1.83 M,0.6771 M,,16.4256,yes,70K+,2572.86,1734.5,503.07,335.38,313.0678
mc_ID_911,"Married Male with two children, education: high school degree working as skilled manual",S03le_WA,"Dairy from Dairy department, Ordered Brand : Even Better",['Coffee Bar'],Two Day Sale,Supermarket,14.0 M,5.74 M,21.2225,18.3153,no,30K+,1972.55,1236.07,,293.95,477.3944
mc_ID_912,"Single Female with three children, education: partial high school working as skilled manual",L05es_CA,"Vegetables from Produce department, Ordered Brand : Tell Tale",['Florist'],Super Savers,Supermarket,4.08 M,1.9176 M,19.6235,16.7163,no,10K+,2187.5,1321.11,523.32,347.83,338.6948
mc_ID_913,"Single Male with one child, education: bachelors degree working as professional",S04ne_WA,"Vegetables from Canned Foods department, Ordered Brand : Pleasant",[],Sale : Double Down,Supermarket,3.54 M,1.3452 M,14.5359,11.6287,no,130K+,2811.99,2049.72,,304.55,327.7641
mc_ID_914,"Single Male with three children, education: bachelors degree working as professional",O09ba_VE,"Canned Clams from Canned Foods department, Ordered Brand : Pleasant","['Ready Food', 'Bar For Salad']",Big Time Discounts,Supermarket,2.37 M,0.7347 M,14.0272,11.1054,yes,50K+,3230.91,2448.37,470.27,313.55,501.9754
mc_ID_915,"Married Male with No children, education: high school degree working as skilled manual",S01em_OR,"Decongestants from Health and Hygiene department, Ordered Brand : Hilltop","['Ready Food', 'Coffee Bar', 'Video Store', 'Bar For Salad', 'Florist']",Save Price,Deluxe,5.04 M,2.4192 M,31.2522,26.8915,yes,10K+,2571.67,1734.5,503.07,335.71,419.9167
mc_ID_916,"Married Female with five children, education: partial college working as clerical",T02ma_WA,"Breakfast Foods from Breakfast Foods department, Ordered Brand : Johnson","['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",Full Free,Deluxe,1.8 M,0.594 M,26.6008,23.5482,yes,30K+,3146.39,2055.39,656.13,436.09,570.3838
mc_ID_917,"Married Male with one child, education: bachelors degree working as professional",O09ba_VE,"Meat from Deli department, Ordered Brand : Moms","['Bar For Salad', 'Ready Food']",Super Savers,Supermarket,3.12 M,1.56 M,16.4256,13.5184,no,70K+,3232.19,2448.12,470.27,315.48,719.3865
mc_ID_918,"Single Male with No children, education: graduate degree working as professional",P07nd_OR,"Fruit from Produce department, Ordered Brand : Hermanos",[],You Save Days,Supermarket,4.86 M,2.0898 M,24.8564,21.9493,yes,70K+,1891.59,1508,227.8,151.9,565.9906
mc_ID_919,"Single Female with five children, education: high school degree working as manual",T02ma_WA,"Meat from Deli department, Ordered Brand : Lake","['Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad']",Save Price,Deluxe,9.04 M,4.2488 M,13.8673,12.3991,yes,30K+,3145.51,2055.29,654.13,436.09,584.191
mc_ID_920,"Married Male with three children, education: partial high school working as manual",B06ls_CA,"Bread from Baked Goods department, Ordered Brand : Modell","['Video Store', 'Ready Food', 'Coffee Bar', 'Bar For Salad', 'Florist']",Price Cutters,Gourmet,4.68 M,1.5444 M,31.8337,28.7811,yes,10K+,2205.21,1424.85,465.54,310.99,675.716
mc_ID_921,"Married Female with five children, education: high school degree working as manual",M10da_YU,"Starchy Foods from Starchy Foods department, Ordered Brand : Colossal","['Ready Food', 'Bar For Salad', 'Florist', 'Video Store', 'Coffee Bar']",Three for One,Deluxe,3.74 M,1.5334 M,21.3678,19.7689,yes,30K+,2864.63,1871.16,593.93,395.95,688.3726
mc_ID_922,"Married Male with three children, education: bachelors degree working as professional",S03le_WA,"Fruit from Produce department, Ordered Brand : Ebony",['Coffee Bar'],Weekend Discount,Supermarket,6.33 M,2.4054 M,28.0543,23.5482,yes,50K+,1970.94,1237.1,440.92,293.95,364.1649
mc_ID_923,"Married Female with five children, education: high school degree working as management",S03le_WA,"Vegetables from Canned Foods department, Ordered Brand : Better",['Coffee Bar'],Double Your Savings,Supermarket,2.64 M,1.188 M,26.0193,24.4204,no,150K+,1972.41,1236.07,440.92,293.95,493.8689
mc_ID_924,"Married Male with five children, education: bachelors degree working as professional",T02ma_WA,"Jams and Jellies from Baking Goods department, Ordered Brand : BBB Best","['Bar For Salad', 'Coffee Bar', 'Florist', 'Ready Food']",Save Price,Deluxe,5.92 M,2.664 M,11.12,6.7592,yes,70K+,3145.51,2055.29,654.13,437.98,602.1299
mc_ID_925,"Single Female with five children, education: bachelors degree working as professional",S18co_CA,"Vegetables from Produce department, Ordered Brand : Ebony",['Coffee Bar'],,Small Grocery,2.84 M,1.3064 M,,27.1822,yes,50K+,2092.99,1423.37,398.93,264.59,625.2465
mc_ID_926,"Single Female with two children, education: bachelors degree working as professional",V13er_BC,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Walrus","['Ready Food', 'Video Store', 'Bar For Salad', 'Florist', 'Coffee Bar']",Super Duper Savers,Deluxe,7.77 M,3.885 M,25.5832,22.676,no,150K+,2147.17,1525.28,373.1,248.79,318.3501
mc_ID_927,"Married Female with three children, education: bachelors degree working as professional",H11go_ZA,"Baking Goods from Baking Goods department, Ordered Brand : Plato","['Coffee Bar', 'Florist', 'Bar For Salad', 'Ready Food', 'Video Store']",Save Price,Deluxe,7.42 M,2.6712 M,17.1524,15.6988,no,70K+,2841.35,2038.11,483.98,319.84,284.3028
mc_ID_928,"Single Male with four children, education: high school degree working as skilled manual",M10da_YU,"Canned Soup from Canned Foods department, Ordered Brand : Pleasant","['Coffee Bar', 'Florist', 'Video Store', 'Ready Food', 'Bar For Salad']",Money Savers,Deluxe,2.62 M,1.048 M,29.3626,27.909,yes,30K+,2861.13,1871.16,,395.95,343.611
mc_ID_929,"Married Female with one child, education: partial college working as clerical",B14on_WA,"Bathroom Products from Health and Hygiene department, Ordered Brand : Faux Products","['Ready Food', 'Bar For Salad']",Sales Days,Supermarket,6.78 M,2.712 M,18.7513,14.376,no,30K+,,2265.9,853.22,568.75,327.9733
mc_ID_930,"Single Male with three children, education: partial high school working as manual",L05es_CA,"Paper Products from Household department, Ordered Brand : Denny",['Florist'],Shelf Emptiers,Supermarket,9.96 M,4.2828 M,25.5832,24.1296,yes,10K+,2196.76,1320.15,523.32,349.38,564.2647
mc_ID_931,"Single Female with five children, education: partial high school working as manual",A17co_GU,"Vegetables from Canned Foods department, Ordered Brand : Pleasant",[],Price Winners,Supermarket,19.85 M,9.131 M,16.7163,12.3555,no,10K+,2191.86,1622.34,,227.33,586.7537
mc_ID_932,"Married Female with two children, education: partial high school working as manual",B14on_WA,"Pain Relievers from Health and Hygiene department, Ordered Brand : Bird Call","['Ready Food', 'Bar For Salad']",Save It (Sale),Supermarket,11.48 M,4.2476 M,28.9265,25.874,no,10K+,3683.12,,853.22,568.75,339.1132
mc_ID_933,"Married Female with two children, education: partial high school working as skilled manual",P07nd_OR,"Kitchen Products from Household department, Ordered Brand : High Quality",[],Super Wallet Savers,Supermarket,2.88 M,0.9504 M,30.3801,27.3275,yes,10K+,1887.7,1508,227.8,151.9,733.1937
mc_ID_934,"Single Male with two children, education: high school degree working as manual",V19ia_BC,"Bread from Baked Goods department, Ordered Brand : Colony","['Florist', 'Coffee Bar']",Green Light Special,Mid-Size,6.16 M,2.5872 M,10.9746,8.0674,no,30K+,3202.68,2551.4,389.54,259.66,769.6991
mc_ID_935,"Married Male with five children, education: high school degree working as manual",V13er_BC,"Baking Goods from Baking Goods department, Ordered Brand : Landslide","['Video Store', 'Ready Food', 'Bar For Salad', 'Florist', 'Coffee Bar']",I Cant Believe It Sale,,10.36 M,3.4188 M,16.4256,,no,30K+,2147.17,1525.51,373.1,248.79,535.9181
mc_ID_936,"Single Female with No children, education: partial high school working as management",H11go_ZA,"Hardware from Checkout department, Ordered Brand : Queen",[],Big Time Discounts,,2.67 M,1.2015 M,12.5154,,yes,90K+,3565.8,2819.7,447.7,299.28,328.1302
mc_ID_937,"Married Female with two children, education: bachelors degree working as professional",S01em_OR,"Bathroom Products from Health and Hygiene department, Ordered Brand : Faux Products","['Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad', 'Video Store']",,Deluxe,9.12 M,2.8272 M,,27.7636,no,50K+,2572.86,1734.5,503.07,335.38,313.0678
mc_ID_938,"Married Female with No children, education: high school degree working as manual",S04ne_WA,"Dairy from Dairy department, Ordered Brand : Gorilla",[],Wallet Savers,Supermarket,10.02 M,4.4088 M,19.3328,14.972,yes,30K+,2811.99,2049.72,457.36,304.91,418.1385
mc_ID_939,"Married Male with five children, education: high school degree working as manual",S03le_WA,"Jams and Jellies from Baking Goods department, Ordered Brand : Landslide",['Coffee Bar'],Weekend Discount,Supermarket,7.95 M,2.7825 M,16.4256,13.5184,no,30K+,1970.94,1236.07,440.92,293.95,364.1649
mc_ID_940,"Single Female with two children, education: partial high school working as manual",C15ho_ZA,"Candy from Snacks department, Ordered Brand : Gulf Coast","['Coffee Bar', 'Florist', 'Ready Food', 'Bar For Salad']",Shelf Emptiers,Gourmet,8.82 M,2.7342 M,31.8337,28.7811,yes,50K+,2211.38,1564.86,385.45,256.97,773.0986
mc_ID_941,"Married Male with two children, education: bachelors degree working as professional",S18co_CA,"Candles from Household department, Ordered Brand : High Quality",['Coffee Bar'],Weekend Discount,Small Grocery,3.16 M,1.3904 M,14.3179,11.4107,no,50K+,2089.95,1423.37,398.93,265.98,353.0773
mc_ID_942,"Married Female with four children, education: bachelors degree working as professional",V13er_BC,"Bread from Baked Goods department, Ordered Brand : Fantastic","['Coffee Bar', 'Florist', 'Bar For Salad', 'Ready Food', 'Video Store']",Super Savers,Deluxe,10.26 M,3.8988 M,8.7797,5.858,yes,50K+,,1523.42,373.1,248.79,755.9442
mc_ID_943,"Married Female with one child, education: partial high school working as skilled manual",L05es_CA,"Vegetables from Frozen Foods department, Ordered Brand : PigTail",['Florist'],Sale : Double Down,Supermarket,15.8 M,7.268 M,10.9601,9.492,yes,10K+,2195.24,1320.15,525.32,349.47,292.6708
mc_ID_944,"Married Female with one child, education: graduate degree working as professional",P07nd_OR,"Canned Anchovies from Canned Foods department, Ordered Brand : Pleasant",[],Saving Days,Supermarket,6.88 M,2.064 M,13.6928,10.7857,yes,70K+,1884.53,1505.4,227.8,151.9,619.0228
mc_ID_945,"Married Male with three children, education: high school degree working as manual",O09ba_VE,"Kitchen Products from Household department, Ordered Brand : Denny","['Bar For Salad', 'Ready Food']",Big Time Discounts,Supermarket,5.13 M,2.052 M,14.6813,11.7741,no,30K+,3232.8,2448.37,470.27,313.55,501.9754
mc_ID_946,"Single Female with three children, education: partial high school working as management",H11go_ZA,"Jams and Jellies from Baking Goods department, Ordered Brand : Plato","['Bar For Salad', 'Coffee Bar', 'Video Store', 'Ready Food', 'Florist']",Pick Your Savings,Deluxe,13.32 M,4.1292 M,18.3153,16.8617,yes,130K+,2841.35,2040.43,481.98,320.92,739.4174
mc_ID_947,"Single Female with one child, education: bachelors degree working as management",V19ia_BC,"Canned Oysters from Canned Foods department, Ordered Brand : Better","['Florist', 'Coffee Bar']",Savings Galore,Mid-Size,8.48 M,2.7984 M,22.676,18.3153,no,50K+,3196.22,2551.4,389.54,258.43,680.2138
mc_ID_948,"Single Female with one child, education: high school degree working as skilled manual",O09ba_VE,"Carbonated Beverages from Beverages department, Ordered Brand : Token","['Bar For Salad', 'Ready Food']",Super Savers,,2.8 M,1.232 M,23.8389,,yes,30K+,3229.63,,470.27,313.25,754.7413
mc_ID_949,"Single Female with three children, education: bachelors degree working as management",S01em_OR,"Fruit from Produce department, Ordered Brand : Hermanos","['Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food', 'Video Store']",Lottery Cash Registerion,Deluxe,8.88 M,4.3512 M,23.9843,21.0771,no,70K+,2577.09,1734.72,503.07,336.65,500.9294
mc_ID_950,"Married Female with four children, education: partial high school working as skilled manual",S01em_OR,"Bread from Baked Goods department, Ordered Brand : Great","['Coffee Bar', 'Bar For Salad', 'Ready Food', 'Florist', 'Video Store']",Lottery Cash Registerion,Deluxe,12.05 M,3.856 M,16.7163,13.8091,no,10K+,2571.29,1734.82,503.07,335.38,313.0678
mc_ID_951,"Single Female with two children, education: high school degree working as professional",T02ma_WA,"Pain Relievers from Health and Hygiene department, Ordered Brand : Bird Call","['Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar']",Price Winners,Deluxe,9.54 M,3.1482 M,29.7987,25.4379,yes,70K+,3146.64,2055.29,654.13,436.09,494.9149
mc_ID_952,"Single Male with one child, education: bachelors degree working as professional",P07nd_OR,"Starchy Foods from Starchy Foods department, Ordered Brand : Shady Lake",[],,Supermarket,1.4 M,0.672 M,,24.1296,yes,50K+,1887.7,1507.98,227.8,152.15,650.4028
mc_ID_953,"Married Male with two children, education: bachelors degree working as professional",L05es_CA,"Jams and Jellies from Baking Goods department, Ordered Brand : Super",['Florist'],Savings Galore,Supermarket,1.8 M,0.594 M,25.2925,20.7864,no,90K+,2192.32,1320.15,,347.05,322.4295
mc_ID_954,"Single Female with two children, education: partial high school working as skilled manual",S04ne_WA,"Specialty from Produce department, Ordered Brand : High Top",[],GLD,,6.33 M,2.0889 M,15.8442,,no,10K+,2809.73,2049.72,457.36,304.91,697.7866
mc_ID_955,"Married Male with two children, education: bachelors degree working as professional",M10da_YU,"Decongestants from Health and Hygiene department, Ordered Brand : Consolidated","['Video Store', 'Florist', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",Price Winners,Deluxe,5.34 M,2.0826 M,18.606,15.6988,yes,50K+,2860.13,1871.16,593.93,395.95,436.9665
mc_ID_956,"Single Female with two children, education: partial college working as skilled manual",V13er_BC,"Paper Products from Household department, Ordered Brand : Cormorant","['Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar', 'Video Store']",I Cant Believe It Sale,Deluxe,7.32 M,3.1476 M,12.6899,9.7681,no,30K+,2147.17,1525.28,373.1,248.79,535.9181
mc_ID_957,"Married Male with No children, education: partial high school working as skilled manual",B14on_WA,"Jams and Jellies from Baking Goods department, Ordered Brand : CDR","['Bar For Salad', 'Ready Food']",,Supermarket,8.64 M,3.5424 M,,13.8091,no,10K+,3687.88,2264.64,853.22,568.75,555.426
mc_ID_958,"Single Male with two children, education: bachelors degree working as professional",S03le_WA,"Fruit from Produce department, Ordered Brand : Tell Tale",['Coffee Bar'],Weekend Discount,Supermarket,1.22 M,0.5856 M,13.562,10.6403,yes,70K+,1970.94,1234.63,440.92,294.41,364.1649
mc_ID_959,"Married Female with one child, education: high school degree working as skilled manual",T02ma_WA,"Kitchen Products from Household department, Ordered Brand : High Quality","['Ready Food', 'Coffee Bar', 'Bar For Salad', 'Florist']",Sale : Double Down,Deluxe,4.3 M,1.935 M,13.0969,11.6433,no,30K+,3145.51,2055.29,654.13,436.09,500.7202
mc_ID_960,"Single Female with three children, education: partial high school working as skilled manual",H11go_ZA,"Dairy from Dairy department, Ordered Brand : Booker","['Video Store', 'Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist']",Save Price,Deluxe,5.55 M,2.442 M,21.5132,20.0596,yes,10K+,2841.35,2038.11,481.98,321.26,284.3028
mc_ID_961,"Single Female with five children, education: partial high school working as manual",B14on_WA,"Kitchen Products from Household department, Ordered Brand : High Quality","['Bar For Salad', 'Ready Food']",Three for One,,6.45 M,3.1605 M,13.0969,,no,10K+,3683.47,2265.9,,,618.4475
mc_ID_962,"Married Male with three children, education: high school degree working as manual",M12ty_DF,"Cold Remedies from Health and Hygiene department, Ordered Brand : Consolidated",[],Price Cutters,Mid-Size,6.57 M,3.0222 M,,13.0823,no,30K+,3391.8,,783.64,521.72,324.7307
mc_ID_963,"Married Male with four children, education: high school degree working as skilled manual",S04ne_WA,"Canned Soup from Canned Foods department, Ordered Brand : Just Right",[],Savings Galore,Supermarket,15.04 M,7.3696 M,10.3496,8.8815,no,30K+,2809.29,2049.72,457.36,306.3,714.2611
mc_ID_964,"Single Female with one child, education: partial college working as management",L05es_CA,"Vegetables from Canned Foods department, Ordered Brand : Blue Label",['Florist'],Roller Savings (High) ,Supermarket,6.87 M,3.2289 M,21.8039,20.3503,no,130K+,,1318.65,523.32,348.85,532.6232
mc_ID_965,"Single Female with one child, education: bachelors degree working as professional",B14on_WA,"Specialty from Produce department, Ordered Brand : Ebony","['Ready Food', 'Bar For Salad']",Super Duper Savers,Supermarket,2.58 M,1.032 M,,25.1472,no,50K+,3686.36,2265.9,855.22,568.83,677.285
mc_ID_966,"Married Female with four children, education: partial high school working as management",H11go_ZA,"Canned Soup from Canned Foods department, Ordered Brand : Just Right","['Bar For Salad', 'Video Store', 'Ready Food', 'Florist', 'Coffee Bar']",Pick Your Savings,,5.24 M,1.7816 M,13.2277,,no,110K+,,,481.98,321.26,739.4174
mc_ID_967,"Married Female with one child, education: high school degree working as skilled manual",M10da_YU,"Starchy Foods from Starchy Foods department, Ordered Brand : Jardon","['Ready Food', 'Video Store', 'Florist', 'Coffee Bar', 'Bar For Salad']",Promo Big,Deluxe,3.8 M,1.216 M,19.6235,16.7163,yes,30K+,2861.13,1871.16,593.93,395.95,578.2288
mc_ID_968,"Single Male with No children, education: partial high school working as professional",M10da_YU,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice","['Coffee Bar', 'Florist', 'Ready Food', 'Video Store', 'Bar For Salad']",Shelf Clearing Days,Deluxe,10.36 M,4.144 M,19.4781,17.8792,no,150K+,2861.13,1871.16,593.93,394.53,516.7763
mc_ID_969,"Married Male with three children, education: partial high school working as manual",S04ne_WA,"Fruit from Produce department, Ordered Brand : Tell Tale",[],One Day Sale,,2.72 M,0.8976 M,30.5255,,no,10K+,2807.17,2049.72,459.36,304.19,486.7561
mc_ID_970,"Single Female with No children, education: high school degree working as skilled manual",V13er_BC,"Dairy from Dairy department, Ordered Brand : Carlson","['Bar For Salad', 'Ready Food', 'Florist', 'Video Store', 'Coffee Bar']",Super Savers,Deluxe,6.9 M,2.415 M,28.1997,25.1472,no,30K+,2146.79,1525.28,373.1,248.79,755.9442
mc_ID_971,"Married Male with four children, education: high school degree working as manual",T02ma_WA,"Specialty from Carousel department, Ordered Brand : Symphony","['Coffee Bar', 'Florist', 'Ready Food', 'Bar For Salad']",Save Price,Deluxe,6.4 M,2.24 M,25.2925,22.24,yes,30K+,3143.13,2056.64,654.13,437.57,584.191
mc_ID_972,"Married Male with two children, education: high school degree working as skilled manual",L05es_CA,"Vegetables from Canned Foods department, Ordered Brand : Pleasant",['Florist'],Shelf Emptiers,Supermarket,10.5 M,3.255 M,8.896,4.5207,yes,30K+,2191.42,1320.15,523.32,,564.2647
mc_ID_973,"Married Female with two children, education: bachelors degree working as management",C15ho_ZA,"Jams and Jellies from Baking Goods department, Ordered Brand : Super","['Bar For Salad', 'Coffee Bar', 'Florist', 'Ready Food']",Saving Days,Gourmet,1.06 M,0.4028 M,15.6988,,no,70K+,2207.28,1564.86,385.45,256.97,474.0995
mc_ID_974,"Married Male with one child, education: partial high school working as professional",S18co_CA,"Jams and Jellies from Baking Goods department, Ordered Brand : Super",['Coffee Bar'],Best Price Savers,Small Grocery,0.9 M,0.432 M,25.2925,20.7864,no,130K+,2092.06,1423.37,398.93,265.98,410.2935
mc_ID_975,"Married Female with No children, education: high school degree working as management",V13er_BC,"Vegetables from Frozen Foods department, Ordered Brand : Big Time","['Coffee Bar', 'Florist', 'Ready Food', 'Bar For Salad', 'Video Store']",Price Smashers,Deluxe,10.71 M,5.2479 M,12.3555,9.4484,no,130K+,2147.17,1525.28,373.1,250.07,499.2035
mc_ID_976,"Married Female with two children, education: bachelors degree working as management",S04ne_WA,"Cleaning Supplies from Household department, Ordered Brand : Denny",[],Sales Days,Supermarket,5.88 M,2.5872 M,24.4204,19.9142,yes,30K+,2811.99,2049.72,457.36,305.35,610.5502
mc_ID_977,"Single Female with No children, education: partial high school working as manual",S01em_OR,"Bread from Baked Goods department, Ordered Brand : Colony","['Video Store', 'Ready Food', 'Coffee Bar', 'Florist', 'Bar For Salad']",Price Slashers,Deluxe,5.3 M,2.173 M,23.8389,,yes,10K+,2572.86,1732.34,503.07,335.38,282.9953
mc_ID_978,"Married Female with four children, education: high school degree working as skilled manual",B06ls_CA,"Vegetables from Produce department, Ordered Brand : Ebony","['Coffee Bar', 'Ready Food', 'Video Store', 'Florist', 'Bar For Salad']",Price Cutters,Gourmet,4.34 M,1.7794 M,22.676,21.2225,no,10K+,2200.69,1424.85,,311.96,675.716
mc_ID_979,"Single Female with one child, education: partial high school working as manual",B14on_WA,"Vegetables from Produce department, Ordered Brand : Hermanos","['Bar For Salad', 'Ready Food']",Three for One,Supermarket,8.43 M,3.7092 M,15.5534,12.6317,no,10K+,3687.88,2265.04,,567.74,618.4475
mc_ID_980,"Single Female with five children, education: bachelors degree working as management",B06ls_CA,"Vegetables from Produce department, Ordered Brand : Ebony","['Video Store', 'Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist']",You Save Days,,10.4 M,3.224 M,11.7741,,yes,10K+,2198.42,1424.85,465.54,310.3,689.3663
mc_ID_981,"Single Female with one child, education: bachelors degree working as professional",M12ty_DF,"Fruit from Produce department, Ordered Brand : Tri-State",[],Sale Sale Sale,Mid-Size,7.08 M,3.2568 M,24.8564,23.4028,no,70K+,,2083.51,783.64,522.22,739.4697
mc_ID_982,"Single Female with three children, education: partial high school working as manual",B14on_WA,"Vegetables from Frozen Foods department, Ordered Brand : Imagine","['Bar For Salad', 'Ready Food']",Mystery Sale,Supermarket,11.04 M,3.5328 M,14.2307,12.7625,yes,10K+,,2265.9,853.22,570.18,444.3931
mc_ID_983,"Single Female with one child, education: partial high school working as skilled manual",A17co_GU,"Canned Soup from Canned Foods department, Ordered Brand : Pleasant",[],Price Winners,Supermarket,13.24 M,5.5608 M,18.1699,13.8091,yes,10K+,2187.88,1623.48,341.05,226.97,586.7537
mc_ID_984,"Married Male with No children, education: bachelors degree working as management",T02ma_WA,"Pizza from Frozen Foods department, Ordered Brand : Carrington","['Florist', 'Ready Food', 'Coffee Bar', 'Bar For Salad']",Sale : Double Down,Deluxe,10.35 M,4.554 M,27.909,26.4554,yes,50K+,3143.17,2055.29,654.13,435.19,500.7202
mc_ID_985,"Married Male with two children, education: partial high school working as manual",S04ne_WA,"Frozen Desserts from Frozen Foods department, Ordered Brand : Carrington",[],Two for One,Supermarket,4.48 M,1.6128 M,20.2049,18.606,yes,50K+,2810.26,2049.72,457.36,303.53,300.8296
mc_ID_986,"Single Female with four children, education: partial high school working as manual",P07nd_OR,"Eggs from Eggs department, Ordered Brand : National",[],,Supermarket,11.56 M,4.7396 M,,27.909,no,30K+,1887.7,1508,227.8,151.9,613.4267
mc_ID_987,"Married Male with two children, education: partial high school working as manual",P07nd_OR,"Meat from Deli department, Ordered Brand : Red Spade",[],Save Price,Supermarket,5.58 M,2.3994 M,8.9396,6.0324,no,10K+,1887.35,1508,227.8,153.34,428.0755
mc_ID_988,"Single Female with five children, education: partial high school working as manual",L05es_CA,"Jams and Jellies from Baking Goods department, Ordered Brand : Landslide",['Florist'],Save It (Sale),Supermarket,4.54 M,1.6798 M,10.3787,7.4569,yes,30K+,2187.4,1320.15,523.32,348.85,427.7617
mc_ID_989,"Married Female with one child, education: high school degree working as manual",O09ba_VE,"Electrical from Household department, Ordered Brand : High Quality","['Bar For Salad', 'Ready Food']",Three for One,Supermarket,6.26 M,3.0674 M,28.0543,26.4554,yes,30K+,,2450.31,470.27,315.46,656.2604
mc_ID_990,"Married Male with three children, education: partial high school working as skilled manual",T02ma_WA,"Dairy from Dairy department, Ordered Brand : Club","['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist']",Dollar Days,Deluxe,7.98 M,3.8304 M,10.2188,7.3116,no,30K+,3145.51,2054.98,654.13,434.77,725.9763
mc_ID_991,"Single Male with three children, education: high school degree working as professional",L05es_CA,"Electrical from Household department, Ordered Brand : Sunset",['Florist'],Pick Your Savings,Supermarket,4.92 M,1.8696 M,24.275,19.9142,yes,130K+,,1317.18,523.32,347.52,769.6991
mc_ID_992,"Married Male with four children, education: partial college working as clerical",T02ma_WA,"Snack Foods from Snack Foods department, Ordered Brand : Fort West","['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist']",Two for One,Deluxe,3.78 M,1.89 M,17.7338,16.1349,yes,30K+,3144.64,2055.29,654.13,435.13,312.9109
mc_ID_993,"Single Male with five children, education: partial high school working as manual",S01em_OR,"Vegetables from Produce department, Ordered Brand : Ebony","['Coffee Bar', 'Ready Food', 'Florist', 'Video Store', 'Bar For Salad']",Price Slashers,Deluxe,8.68 M,2.9512 M,22.676,21.2225,no,30K+,2571.85,1734.5,503.07,335.38,282.9953
