,Person%20Description,Place%20Code,Customer%20Order,Additional%20Features%20in%20market,Promotion%20Name,Store%20Kind,Store%20Sales,Store%20Cost,Gross%20Weight,Net%20Weight,Weights%20Data,Is%20Recyclable?,Yearly%20Income,Store%20Area,Grocery%20Area,Frozen%20Area,Meat%20Area,Cost
mc_ID_813,"Married Female with one child, education: bachelors degree working as professional",G16ra_JA,"Jams and Jellies from Baking Goods department, Ordered Brand : Plato",['Coffee Bar'],Budget Bargains,Small Grocery,1.38 Millions,0.6624 Millions,21.6585,17.1524,"{'Gross Weight': 21.6585, 'Net Weight': 17.1524, 'Package Weight': 4.5061}",yes,50K+,2285.14,1394.66,534.29,357.6,414.8959
mc_ID_814,"Married Male with three children, education: partial high school working as manual",B06ls_CA,"Hardware from Household department, Ordered Brand : Red Wing","['Video Store', 'Coffee Bar', 'Florist', 'Bar For Salad', 'Ready Food']",Save Price,Gourmet,2.46 Millions,1.1316 Millions,13.7655,12.3119,"{'Gross Weight': 13.7655, 'Net Weight': 12.3119, 'Package Weight': 1.4536}",yes,10K+,2196.31,1424.85,465.54,310.89,670.486
mc_ID_815,"Married Male with three children, education: partial high school working as manual",S03le_WA,"Baking Goods from Baking Goods department, Ordered Brand : Landslide",['Coffee Bar'],,Supermarket,4.28 Millions,1.4124 Millions,23.1121,20.0596,"{'Gross Weight': 23.1121, 'Net Weight': 20.0596, 'Package Weight': 3.0525}",yes,10K+,1967.71,1236.07,440.92,293.28,760.4943
mc_ID_816,"Single Male with four children, education: high school degree working as skilled manual",P07nd_OR,"Paper Products from Household department, Ordered Brand : Cormorant",[],Saving Days,Supermarket,6.8 Millions,3.264 Millions,26.31,23.4028,"{'Gross Weight': 26.31, 'Net Weight': 23.4028, 'Package Weight': 2.9072}",no,30K+,1887.09,1508,227.8,150.68,619.0228
mc_ID_817,"Single Male with one child, education: bachelors degree working as professional",P07nd_OR,"Snack Foods from Snack Foods department, Ordered Brand : Fast",[],,Supermarket,9.42 Millions,4.239 Millions,,17.5885,"{'Gross Weight': 19.0421, 'Net Weight': 17.5885, 'Package Weight': 1.4536}",yes,70K+,1887.7,1506.14,227.8,151.9,623.939
mc_ID_818,"Married Male with one child, education: partial high school working as skilled manual",P07nd_OR,"Vegetables from Produce department, Ordered Brand : Ebony",[],Big Time Discounts,,5.66 Millions,2.4338 Millions,29.0719,26.1647,"{'Gross Weight': 29.0719, 'Net Weight': 26.1647, 'Package Weight': 2.9072}",yes,10K+,1887.7,1508,227.8,151.9,761.488
mc_ID_819,"Married Female with one child, education: partial high school working as skilled manual",S03le_WA,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",['Coffee Bar'],Budget Bargains,Supermarket,6.93 Millions,3.3957 Millions,10.2333,7.3116,"{'Gross Weight': 10.2333, 'Net Weight': 7.3116, 'Package Weight': 2.9217}",no,10K+,1968.67,1236.07,440.92,295.01,754.0614
mc_ID_820,"Single Female with four children, education: high school degree working as manual",S04ne_WA,"Fruit from Produce department, Ordered Brand : High Top",[],GLD,Supermarket,4.47 Millions,1.4304 Millions,17.1524,12.7916,"{'Gross Weight': 17.1524, 'Net Weight': 12.7916, 'Package Weight': 4.3608}",no,30K+,2814.14,2049.72,457.36,304.91,697.7866
mc_ID_821,"Married Male with four children, education: high school degree working as manual",T02ma_WA,"Dairy from Dairy department, Ordered Brand : Gorilla","['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist']",Saving Days,,6.9 Millions,3.381 Millions,13.7074,12.2538,"{'Gross Weight': 13.7074, 'Net Weight': 12.2538, 'Package Weight': 1.4536}",yes,30K+,3148.85,,654.13,436.09,352.0313
mc_ID_822,"Single Male with four children, education: partial high school working as skilled manual",T02ma_WA,"Hygiene from Health and Hygiene department, Ordered Brand : Faux Products","['Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist']",Dollar Days,Deluxe,1.3 Millions,0.481 Millions,29.944,27.0368,"{'Gross Weight': 29.944, 'Net Weight': 27.0368, 'Package Weight': 2.9072}",yes,10K+,3142.95,2055.16,654.13,,725.9763
mc_ID_823,"Single Female with four children, education: high school degree working as manual",S04ne_WA,"Frozen Desserts from Frozen Foods department, Ordered Brand : Big Time",[],Wallet Savers,Supermarket,6.75 Millions,2.97 Millions,26.7461,25.1472,"{'Gross Weight': 26.7461, 'Net Weight': 25.1472, 'Package Weight': 1.599}",yes,30K+,2813.04,2051.73,,,418.1385
mc_ID_824,"Single Female with three children, education: high school degree working as skilled manual",B14on_WA,"Jams and Jellies from Baking Goods department, Ordered Brand : Plato","['Ready Food', 'Bar For Salad']",Budget Bargains,,9.9 Millions,3.069 Millions,28.9265,25.874,"{'Gross Weight': 28.9265, 'Net Weight': 25.874, 'Package Weight': 3.0525}",no,30K+,3685.14,2263.62,853.22,568.75,346.1214
mc_ID_825,"Married Female with four children, education: partial high school working as professional",V13er_BC,"Frozen Desserts from Frozen Foods department, Ordered Brand : Carrington","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Video Store', 'Florist']",Price Smashers,Deluxe,4.2 Millions,1.848 Millions,16.7163,12.3555,"{'Gross Weight': 16.7163, 'Net Weight': 12.3555, 'Package Weight': 4.3608}",no,90K+,2147.17,,373.1,248.79,499.2035
mc_ID_826,"Married Female with four children, education: partial high school working as management",H11go_ZA,"Electrical from Household department, Ordered Brand : Cormorant","['Bar For Salad', 'Coffee Bar', 'Video Store', 'Ready Food', 'Florist']",Big Time Discounts,Deluxe,2.36 Millions,0.8968 Millions,30.5255,29.0719,"{'Gross Weight': 30.5255, 'Net Weight': 29.0719, 'Package Weight': 1.4536}",no,110K+,2837.19,2038.11,481.98,321.74,328.1302
mc_ID_827,"Married Female with five children, education: high school degree working as professional",S03le_WA,"Electrical from Household department, Ordered Brand : High Quality",['Coffee Bar'],Best Price Savers,Supermarket,9.72 Millions,3.6936 Millions,12.3265,9.4047,"{'Gross Weight': 12.3265, 'Net Weight': 9.4047, 'Package Weight': 2.9217}",no,70K+,1975.35,1236.07,440.92,292.18,349.2594
mc_ID_828,"Married Male with five children, education: bachelors degree working as professional",T02ma_WA,"Breakfast Foods from Frozen Foods department, Ordered Brand : Golden","['Florist', 'Coffee Bar', 'Ready Food', 'Bar For Salad']",Price Winners,Deluxe,2.31 Millions,1.155 Millions,14.8266,11.9049,"{'Gross Weight': 14.8266, 'Net Weight': 11.9049, 'Package Weight': 2.9217}",no,70K+,3145.51,2055.29,654.13,435.46,494.9149
mc_ID_829,"Married Male with No children, education: partial high school working as manual",M10da_YU,"Frozen Entrees from Frozen Foods department, Ordered Brand : Big Time","['Ready Food', 'Video Store', 'Florist', 'Coffee Bar', 'Bar For Salad']",,Deluxe,6.6 Millions,2.64 Millions,,21.2225,"{'Gross Weight': 22.8214, 'Net Weight': 21.2225, 'Package Weight': 1.599}",yes,10K+,2861.13,1871.16,593.93,395.95,474.7271
mc_ID_830,"Married Female with one child, education: partial high school working as manual",S01em_OR,"Vegetables from Produce department, Ordered Brand : Tri-State","['Florist', 'Bar For Salad', 'Ready Food', 'Coffee Bar', 'Video Store']",GLD,Deluxe,7.83 Millions,3.4452 Millions,25.5832,22.676,"{'Gross Weight': 25.5832, 'Net Weight': 22.676, 'Package Weight': 2.9072}",yes,10K+,,1734.5,503.07,335.38,346.5921
mc_ID_831,"Single Female with one child, education: partial high school working as skilled manual",S01em_OR,"Jams and Jellies from Baking Goods department, Ordered Brand : Plato","['Bar For Salad', 'Coffee Bar', 'Video Store', 'Ready Food', 'Florist']",Big Time Saving,,6.16 Millions,2.2792 Millions,21.0771,19.6235,"{'Gross Weight': 21.0771, 'Net Weight': 19.6235, 'Package Weight': 1.4536}",yes,10K+,2572.86,,503.07,335.38,279.5435
mc_ID_832,"Married Male with three children, education: high school degree working as manual",B14on_WA,"Frozen Desserts from Frozen Foods department, Ordered Brand : PigTail","['Ready Food', 'Bar For Salad']",Coupon Spectacular,Supermarket,2.64 Millions,1.2672 Millions,24.7111,21.8039,"{'Gross Weight': 24.7111, 'Net Weight': 21.8039, 'Package Weight': 2.9072}",no,30K+,3686.29,2265.9,853.22,568.75,269.1881
mc_ID_833,"Single Male with three children, education: high school degree working as manual",B08am_WA,"Canned Soup from Canned Foods department, Ordered Brand : Better",['Coffee Bar'],,,2.46 Millions,1.23 Millions,,8.6925,"{'Gross Weight': 11.5997, 'Net Weight': 8.6925, 'Package Weight': 2.9072}",yes,30K+,2620.42,2069.04,330.83,220.46,695.067
mc_ID_834,"Married Female with two children, education: partial high school working as skilled manual",S01em_OR,"Snack Foods from Snack Foods department, Ordered Brand : Horatio","['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food', 'Video Store']",Big Time Saving,Deluxe,7.89 Millions,3.3138 Millions,18.3153,13.9545,"{'Gross Weight': 18.3153, 'Net Weight': 13.9545, 'Package Weight': 4.3608}",no,10K+,2577.64,1734.5,503.07,335.38,279.5435
mc_ID_835,"Single Male with four children, education: partial high school working as manual",M10da_YU,"Electrical from Household department, Ordered Brand : High Quality","['Video Store', 'Coffee Bar', 'Bar For Salad', 'Florist', 'Ready Food']",Money Savers,Deluxe,5.48 Millions,2.5208 Millions,14.6813,10.3205,"{'Gross Weight': 14.6813, 'Net Weight': 10.3205, 'Package Weight': 4.3608}",yes,10K+,2856.7,1868.77,593.93,397.63,343.611
mc_ID_836,"Single Female with two children, education: high school degree working as professional",B08am_WA,"Baking Goods from Baking Goods department, Ordered Brand : Landslide",['Coffee Bar'],One Day Sale,,7.08 Millions,2.3364 Millions,30.8162,,"{'Gross Weight': 30.8162, 'Net Weight': 29.3626, 'Package Weight': 1.4536}",yes,130K+,2620.42,2069.04,330.83,220.55,726.7608
mc_ID_837,"Married Female with three children, education: partial college working as management",T02ma_WA,"Specialty from Produce department, Ordered Brand : Tri-State","['Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",Promo Big,Deluxe,2.64 Millions,1.1616 Millions,28.6358,24.275,"{'Gross Weight': 28.6358, 'Net Weight': 24.275, 'Package Weight': 4.3608}",no,130K+,3145.51,2056,654.13,436.09,267.3576
mc_ID_838,"Married Male with five children, education: high school degree working as skilled manual",L05es_CA,"Candles from Household department, Ordered Brand : Sunset",['Florist'],,Supermarket,1.12 Millions,0.4816 Millions,,13.3585,"{'Gross Weight': 17.7338, 'Net Weight': 13.3585, 'Package Weight': 4.3753}",yes,30K+,2192.32,1322.33,523.32,347.42,670.486
mc_ID_839,"Married Male with four children, education: partial high school working as manual",S01em_OR,"Pizza from Frozen Foods department, Ordered Brand : Big Time","['Florist', 'Ready Food', 'Video Store', 'Coffee Bar', 'Bar For Salad']",I Cant Believe It Sale,,3.39 Millions,1.3899 Millions,13.3149,,"{'Gross Weight': 13.3149, 'Net Weight': 10.3932, 'Package Weight': 2.9217}",yes,30K+,2569.95,1734.5,505.07,334.4,363.3281
mc_ID_840,"Single Female with two children, education: partial high school working as professional",T02ma_WA,"Canned Soup from Canned Foods department, Ordered Brand : Just Right","['Ready Food', 'Coffee Bar', 'Bar For Salad', 'Florist']",Two Day Sale,Deluxe,3.74 Millions,1.4212 Millions,13.5329,9.1722,"{'Gross Weight': 13.5329, 'Net Weight': 9.1722, 'Package Weight': 4.3608}",yes,90K+,3145.51,2055.29,656.13,436.09,542.0895
mc_ID_841,"Single Male with No children, education: bachelors degree working as management",S18co_CA,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",['Coffee Bar'],Fantastic Discounts,Small Grocery,2.82 Millions,1.0434 Millions,26.6008,22.0946,"{'Gross Weight': 26.6008, 'Net Weight': 22.0946, 'Package Weight': 4.5061}",yes,50K+,2088.27,1423.37,400.93,265.98,700.8723
mc_ID_842,"Single Female with three children, education: bachelors degree working as professional",V13er_BC,"Eggs from Eggs department, Ordered Brand : Urban","['Ready Food', 'Coffee Bar', 'Florist', 'Video Store', 'Bar For Salad']",,,11.22 Millions,4.2636 Millions,,12.0648,"{'Gross Weight': 14.972, 'Net Weight': 12.0648, 'Package Weight': 2.9072}",yes,130K+,2151.95,1525.28,373.1,248.79,746.3733
mc_ID_843,"Single Male with four children, education: partial high school working as skilled manual",V19ia_BC,"Baking Goods from Baking Goods department, Ordered Brand : Super","['Coffee Bar', 'Florist']",I Cant Believe It Sale,Mid-Size,11.76 Millions,4.704 Millions,24.4204,21.3678,"{'Gross Weight': 24.4204, 'Net Weight': 21.3678, 'Package Weight': 3.0525}",yes,10K+,3200.69,2551.4,389.54,258.04,275.9871
mc_ID_844,"Married Male with three children, education: partial college working as professional",V19ia_BC,"Snack Foods from Snack Foods department, Ordered Brand : Fort West","['Florist', 'Coffee Bar']",Savings Galore,Mid-Size,4.26 Millions,2.0874 Millions,15.9895,14.5359,"{'Gross Weight': 15.9895, 'Net Weight': 14.5359, 'Package Weight': 1.4536}",yes,130K+,3200.69,2551.4,389.54,259.66,680.2138
mc_ID_845,"Single Female with four children, education: bachelors degree working as professional",S01em_OR,"Candy from Snacks department, Ordered Brand : Musial","['Video Store', 'Coffee Bar', 'Bar For Salad', 'Ready Food', 'Florist']",Bag Stuffer,Deluxe,3.56 Millions,1.5308 Millions,20.0596,15.6988,"{'Gross Weight': 20.0596, 'Net Weight': 15.6988, 'Package Weight': 4.3608}",no,50K+,2574.44,1734.5,,335.38,662.2226
mc_ID_846,"Single Female with five children, education: high school degree working as manual",T02ma_WA,"Breakfast Foods from Frozen Foods department, Ordered Brand : PigTail","['Bar For Salad', 'Coffee Bar', 'Florist', 'Ready Food']",,Deluxe,1.53 Millions,0.459 Millions,,18.3153,"{'Gross Weight': 21.3678, 'Net Weight': 18.3153, 'Package Weight': 3.0525}",no,50K+,3145.51,2055.29,654.13,436.09,725.9763
mc_ID_847,"Married Male with four children, education: bachelors degree working as management",T02ma_WA,"Fruit from Produce department, Ordered Brand : Tell Tale","['Florist', 'Ready Food', 'Coffee Bar', 'Bar For Salad']",Full Free,,10.12 Millions,3.3396 Millions,29.6533,,"{'Gross Weight': 29.6533, 'Net Weight': 26.6008, 'Package Weight': 3.0525}",yes,50K+,3146.16,2055.29,654.13,436.09,570.3838
mc_ID_848,"Single Female with three children, education: bachelors degree working as professional",P07nd_OR,"Electrical from Household department, Ordered Brand : Sunset",[],,Supermarket,10.47 Millions,4.0833 Millions,15.8442,12.9224,"{'Gross Weight': 15.8442, 'Net Weight': 12.9224, 'Package Weight': 2.9217}",yes,50K+,1890.56,1508,227.8,,277.2423
mc_ID_849,"Married Male with three children, education: bachelors degree working as management",M10da_YU,"Snack Foods from Snack Foods department, Ordered Brand : Fast","['Bar For Salad', 'Video Store', 'Florist', 'Ready Food', 'Coffee Bar']",Big Time Saving,Deluxe,4.53 Millions,1.9026 Millions,9.9426,5.5818,"{'Gross Weight': 9.9426, 'Net Weight': 5.5818, 'Package Weight': 4.3608}",no,50K+,2857.64,1871.16,593.93,395.95,676.6574
mc_ID_850,"Single Male with three children, education: partial high school working as professional",S04ne_WA,"Carbonated Beverages from Beverages department, Ordered Brand : Washington",[],Super Duper Savers,,7.83 Millions,3.6801 Millions,26.1647,24.7111,"{'Gross Weight': 26.1647, 'Net Weight': 24.7111, 'Package Weight': 1.4536}",yes,130K+,2811.99,,,304.91,527.7593
mc_ID_851,"Single Female with two children, education: graduate degree working as management",T02ma_WA,"Vegetables from Frozen Foods department, Ordered Brand : Golden","['Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad']",Full Free,Deluxe,4.77 Millions,2.3373 Millions,29.7987,25.4379,"{'Gross Weight': 29.7987, 'Net Weight': 25.4379, 'Package Weight': 4.3608}",no,70K+,3145.51,2055.29,654.13,434.54,570.3838
mc_ID_852,"Single Male with one child, education: partial high school working as professional",H11go_ZA,"Candy from Snacks department, Ordered Brand : Musial","['Coffee Bar', 'Bar For Salad', 'Florist', 'Video Store', 'Ready Food']",Price Winners,Deluxe,6.64 Millions,2.988 Millions,12.341,9.4193,"{'Gross Weight': 12.341, 'Net Weight': 9.4193, 'Package Weight': 2.9217}",yes,150K+,2841.13,2040.62,481.98,321.26,453.9117
mc_ID_853,"Married Male with three children, education: partial college working as clerical",H11go_ZA,"Starchy Foods from Starchy Foods department, Ordered Brand : Shady Lake","['Ready Food', 'Florist', 'Coffee Bar', 'Video Store', 'Bar For Salad']",Price Winners,Deluxe,2.1 Millions,1.05 Millions,27.0368,24.1296,"{'Gross Weight': 27.0368, 'Net Weight': 24.1296, 'Package Weight': 2.9072}",yes,30K+,2841.22,2038.11,481.98,321.26,453.9117
mc_ID_854,"Single Male with two children, education: partial high school working as management",T02ma_WA,"Packaged Vegetables from Produce department, Ordered Brand : Tri-State","['Ready Food', 'Bar For Salad', 'Florist', 'Coffee Bar']",,Deluxe,4.98 Millions,2.1912 Millions,19.7689,16.8617,"{'Gross Weight': 19.7689, 'Net Weight': 16.8617, 'Package Weight': 2.9072}",no,90K+,3144.87,2055.29,654.13,436.09,288.5914
mc_ID_855,"Single Female with No children, education: bachelors degree working as management",H11go_ZA,"Seafood from Seafood department, Ordered Brand : Tip Top","['Florist', 'Video Store', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",Save Price,,14.4 Millions,4.464 Millions,30.9615,29.3626,"{'Gross Weight': 30.9615, 'Net Weight': 29.3626, 'Package Weight': 1.599}",yes,70K+,2841.35,2038.11,,321.97,284.3028
mc_ID_856,"Married Female with two children, education: partial high school working as manual",O09ba_VE,"Breakfast Foods from Breakfast Foods department, Ordered Brand : Best","['Ready Food', 'Bar For Salad']",Three for One,Supermarket,7.0 Millions,2.59 Millions,22.3853,17.8792,"{'Gross Weight': 22.3853, 'Net Weight': 17.8792, 'Package Weight': 4.5061}",no,10K+,3232.19,2448.37,472.27,313.55,656.2604
mc_ID_857,"Single Male with three children, education: high school degree working as manual",S01em_OR,"Hot Beverages from Beverages department, Ordered Brand : Landslide","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Video Store', 'Florist']",Bag Stuffer,,2.56 Millions,0.8704 Millions,15.1174,,"{'Gross Weight': 15.1174, 'Net Weight': 12.1956, 'Package Weight': 2.9217}",no,30K+,2570.53,1734.5,503.07,336.71,432.1026
mc_ID_858,"Single Female with one child, education: high school degree working as skilled manual",O09ba_VE,"Bathroom Products from Health and Hygiene department, Ordered Brand : Faux Products","['Ready Food', 'Bar For Salad']",,Supermarket,6.69 Millions,2.6091 Millions,,29.3626,"{'Gross Weight': 30.9615, 'Net Weight': 29.3626, 'Package Weight': 1.599}",yes,30K+,3231.6,2450.24,470.27,313.55,754.7413
mc_ID_859,"Single Male with three children, education: partial high school working as skilled manual",L05es_CA,"Dairy from Dairy department, Ordered Brand : Club",['Florist'],Roller Savings (High) ,,2.13 Millions,0.6603 Millions,29.944,,"{'Gross Weight': 29.944, 'Net Weight': 27.0368, 'Package Weight': 2.9072}",yes,10K+,2192.32,1320.15,525.32,350.16,532.6232
mc_ID_860,"Single Male with two children, education: partial high school working as skilled manual",P07nd_OR,"Bathroom Products from Health and Hygiene department, Ordered Brand : Consolidated",[],Weekend Discount,,9.88 Millions,4.6436 Millions,17.007,,"{'Gross Weight': 17.007, 'Net Weight': 15.4081, 'Package Weight': 1.599}",no,10K+,1887.7,1508,227.8,152.9,735.1811
mc_ID_861,"Married Male with No children, education: bachelors degree working as management",L05es_CA,"Cleaning Supplies from Household department, Ordered Brand : Sunset",['Florist'],Price Destroyers,Supermarket,5.55 Millions,2.3865 Millions,23.8389,20.7864,"{'Gross Weight': 23.8389, 'Net Weight': 20.7864, 'Package Weight': 3.0525}",yes,50K+,2188.19,1317.93,523.32,348.85,710.8616
mc_ID_862,"Single Male with No children, education: bachelors degree working as professional",S01em_OR,"Canned Tuna from Canned Foods department, Ordered Brand : Bravo","['Bar For Salad', 'Florist', 'Coffee Bar', 'Video Store', 'Ready Food']",Lottery Cash Registerion,Deluxe,5.01 Millions,2.2545 Millions,15.5534,14.0853,"{'Gross Weight': 15.5534, 'Net Weight': 14.0853, 'Package Weight': 1.4681}",yes,70K+,2574.77,1734.5,503.07,334.82,500.9294
mc_ID_863,"Single Female with two children, education: partial college working as manual",S01em_OR,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Ready Food', 'Coffee Bar', 'Bar For Salad', 'Video Store', 'Florist']",Big Time Saving,Deluxe,7.23 Millions,3.2535 Millions,14.8266,11.9049,"{'Gross Weight': 14.8266, 'Net Weight': 11.9049, 'Package Weight': 2.9217}",no,50K+,2572.86,1734.5,503.07,335.17,279.5435
mc_ID_864,"Married Female with three children, education: partial college working as clerical",O09ba_VE,"Vegetables from Canned Foods department, Ordered Brand : Bravo","['Ready Food', 'Bar For Salad']",Wallet Savers,Supermarket,12.6 Millions,3.78 Millions,9.8844,8.4308,"{'Gross Weight': 9.8844, 'Net Weight': 8.4308, 'Package Weight': 1.4536}",yes,30K+,3227.75,2446.14,470.27,,324.8876
mc_ID_865,"Single Male with four children, education: graduate degree working as professional",B08am_WA,"Vegetables from Produce department, Ordered Brand : High Top",['Coffee Bar'],Double Your Savings,Small Grocery,6.8 Millions,2.244 Millions,29.0719,26.1647,"{'Gross Weight': 29.0719, 'Net Weight': 26.1647, 'Package Weight': 2.9072}",yes,70K+,2622.12,,330.83,220.55,638.8968
mc_ID_866,"Married Female with four children, education: high school degree working as manual",S04ne_WA,"Pain Relievers from Health and Hygiene department, Ordered Brand : Bird Call",[],Super Savers,,9.54 Millions,3.339 Millions,29.7987,25.4379,"{'Gross Weight': 29.7987, 'Net Weight': 25.4379, 'Package Weight': 4.3608}",yes,10K+,2811.99,2050.3,457.36,303.77,339.8977
mc_ID_867,"Single Female with two children, education: partial high school working as manual",C15ho_ZA,"Candy from Snacks department, Ordered Brand : Musial","['Florist', 'Coffee Bar', 'Ready Food', 'Bar For Salad']",GLD,,4.98 Millions,2.4402 Millions,12.341,9.4193,"{'Gross Weight': 12.341, 'Net Weight': 9.4193, 'Package Weight': 2.9217}",yes,10K+,2203.58,1564.86,385.45,257.03,396.2248
mc_ID_868,"Married Female with four children, education: bachelors degree working as professional",S04ne_WA,"Meat from Frozen Foods department, Ordered Brand : Imagine",[],Savings Galore,,3.9 Millions,1.443 Millions,24.1296,19.7689,"{'Gross Weight': 24.1296, 'Net Weight': 19.7689, 'Package Weight': 4.3608}",yes,50K+,2811.99,2049.72,457.36,305.51,714.2611
mc_ID_869,"Single Male with one child, education: bachelors degree working as professional",H11go_ZA,"Bathroom Products from Health and Hygiene department, Ordered Brand : Consolidated","['Florist', 'Video Store', 'Ready Food', 'Bar For Salad', 'Coffee Bar']",One Day Sale,Deluxe,7.41 Millions,2.7417 Millions,17.007,15.4081,"{'Gross Weight': 17.007, 'Net Weight': 15.4081, 'Package Weight': 1.599}",no,110K+,2841.35,2036.89,481.98,321.26,767.3456
mc_ID_870,"Single Male with two children, education: partial college working as management",S04ne_WA,"Bread from Baked Goods department, Ordered Brand : Colony",[],Wallet Savers,Supermarket,5.3 Millions,2.65 Millions,23.8389,22.24,"{'Gross Weight': 23.8389, 'Net Weight': 22.24, 'Package Weight': 1.599}",yes,30K+,2812.44,2049.72,457.36,304.91,418.1385
mc_ID_871,"Single Female with three children, education: partial high school working as skilled manual",G16ra_JA,"Bathroom Products from Health and Hygiene department, Ordered Brand : Bird Call",['Coffee Bar'],Sale Winners,Small Grocery,4.56 Millions,2.1888 Millions,23.5482,22.0946,"{'Gross Weight': 23.5482, 'Net Weight': 22.0946, 'Package Weight': 1.4536}",yes,30K+,2288.93,1391.83,534.29,354.32,577.915
mc_ID_872,"Single Male with one child, education: bachelors degree working as professional",S01em_OR,"Paper Products from Household department, Ordered Brand : Sunset","['Video Store', 'Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad']",,Deluxe,2.58 Millions,1.2642 Millions,,10.1752,"{'Gross Weight': 11.6287, 'Net Weight': 10.1752, 'Package Weight': 1.4536}",no,70K+,2572.86,1732.31,503.07,334.88,363.3281
mc_ID_873,"Single Female with three children, education: high school degree working as skilled manual",M10da_YU,"Frozen Desserts from Frozen Foods department, Ordered Brand : Imagine","['Ready Food', 'Coffee Bar', 'Video Store', 'Bar For Salad', 'Florist']",Sale Winners,,8.49 Millions,3.0564 Millions,29.3626,26.4554,"{'Gross Weight': 29.3626, 'Net Weight': 26.4554, 'Package Weight': 2.9072}",no,30K+,2865.56,1871.16,595.93,,519.7574
mc_ID_874,"Single Female with four children, education: partial high school working as skilled manual",G16ra_JA,"Bathroom Products from Health and Hygiene department, Ordered Brand : Steady",['Coffee Bar'],Super Duper Savers,Small Grocery,0.96 Millions,0.336 Millions,28.9265,27.3275,"{'Gross Weight': 28.9265, 'Net Weight': 27.3275, 'Package Weight': 1.599}",no,10K+,2287.83,1394.14,534.29,358.15,611.4393
mc_ID_875,"Single Male with four children, education: partial college working as clerical",B06ls_CA,"Vegetables from Frozen Foods department, Ordered Brand : Golden","['Video Store', 'Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar']",Roller Savings (High) ,,4.77 Millions,1.8603 Millions,29.7987,,"{'Gross Weight': 29.7987, 'Net Weight': 25.4379, 'Package Weight': 4.3608}",no,30K+,2205.08,1424.85,465.54,310.3,499.7265
mc_ID_876,"Single Male with No children, education: bachelors degree working as professional",B14on_WA,"Bread from Baked Goods department, Ordered Brand : Colony","['Ready Food', 'Bar For Salad']",Mystery Sale,Supermarket,7.48 Millions,2.5432 Millions,17.4431,14.5359,"{'Gross Weight': 17.4431, 'Net Weight': 14.5359, 'Package Weight': 2.9072}",yes,50K+,3691.52,2265.9,,,444.3931
mc_ID_877,"Single Male with three children, education: partial high school working as manual",T02ma_WA,"Jams and Jellies from Baking Goods department, Ordered Brand : CDR","['Coffee Bar', 'Bar For Salad', 'Ready Food', 'Florist']",Super Duper Savers,Deluxe,6.48 Millions,3.1752 Millions,16.7163,13.8091,"{'Gross Weight': 16.7163, 'Net Weight': 13.8091, 'Package Weight': 2.9072}",no,30K+,3145.51,2055.29,654.13,436.09,475.93
mc_ID_878,"Married Male with four children, education: partial college working as professional",L05es_CA,"Side Dishes from Deli department, Ordered Brand : Red Spade",['Florist'],,Supermarket,1.36 Millions,0.4896 Millions,24.5657,21.5132,"{'Gross Weight': 24.5657, 'Net Weight': 21.5132, 'Package Weight': 3.0525}",no,30K+,2188.64,1320.15,523.32,348.85,532.6232
mc_ID_879,"Single Female with No children, education: bachelors degree working as management",M10da_YU,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Portsmouth","['Coffee Bar', 'Ready Food', 'Video Store', 'Bar For Salad', 'Florist']",Big Time Saving,Deluxe,13.72 Millions,4.2532 Millions,12.2247,10.7566,"{'Gross Weight': 12.2247, 'Net Weight': 10.7566, 'Package Weight': 1.4681}",no,70K+,2864.28,1871.16,593.93,396.09,676.6574
mc_ID_880,"Married Female with four children, education: partial high school working as management",M10da_YU,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice","['Florist', 'Video Store', 'Ready Food', 'Coffee Bar', 'Bar For Salad']",Shelf Clearing Days,Deluxe,8.92 Millions,3.7464 Millions,19.7689,15.4081,"{'Gross Weight': 19.7689, 'Net Weight': 15.4081, 'Package Weight': 4.3608}",no,130K+,2861.13,1871.16,593.93,396.17,516.7763
mc_ID_881,"Single Male with one child, education: high school degree working as professional",M10da_YU,"Baking Goods from Baking Goods department, Ordered Brand : CDR","['Ready Food', 'Video Store', 'Florist', 'Bar For Salad', 'Coffee Bar']",GLD,Deluxe,4.76 Millions,1.7136 Millions,23.4028,20.4957,"{'Gross Weight': 23.4028, 'Net Weight': 20.4957, 'Package Weight': 2.9072}",yes,70K+,2866.02,1873.23,595.93,395.95,484.1411
